"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","595","test_login_data_driven[None-secret_sauce-failure]","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Using the browser back button after logout should not restore an authenticated session view.","710","test_back_button_after_logout","tests","2026-09-11","passed","2026-09-11","TestLogout","test_logout","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","634","test_login_data_driven[error_user-secret_sauce-success]","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Submitting the form with an empty password should show an error.","550","test_empty_password","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","613","test_login_data_driven[standard_user-None-failure]","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Checkout should be blocked with an error when postal code is missing.","21144","test_missing_postal_code","tests","2026-09-11","broken","2026-09-11","TestCheckout","test_checkout","",""
"Logging out should return the user to the login page.","10694","test_logout_successfully","tests","2026-09-11","failed","2026-09-11","TestLogout","test_logout","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","5635","test_login_data_driven[performance_glitch_user-secret_sauce-success]","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","646","test_login_data_driven[locked_out_user-secret_sauce-locked]","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Cart badge count should increment/decrement correctly as items are added/removed.","268","test_cart_badge_updates_dynamically","tests","2026-09-11","failed","2026-09-11","TestCart","test_cart","",""
"Sorting by 'Name (Z to A)' should return alphabetically descending names.","206","test_sort_name_z_to_a","tests","2026-09-11","passed","2026-09-11","TestInventory","test_inventory","",""
"Removing a product from the inventory page should clear the cart badge.","232","test_remove_product_from_cart","tests","2026-09-11","failed","2026-09-11","TestCart","test_cart","",""
"Cart contents should persist when navigating to the cart page and back.","21301","test_cart_persists_across_navigation","tests","2026-09-11","broken","2026-09-11","TestCart","test_cart","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","671","test_login_data_driven[standard_user-secret_sauce-success]","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Sorting by 'Price (high to low)' should return descending prices.","174","test_sort_price_high_to_low","tests","2026-09-11","passed","2026-09-11","TestInventory","test_inventory","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","665","test_login_data_driven[visual_user-secret_sauce-success]","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Login with a completely unknown username should fail.","620","test_invalid_login_unknown_user","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Login with a valid username but wrong password should fail with an error.","648","test_invalid_login_wrong_password","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Checkout should be blocked with an error when first name is missing.","21074","test_missing_first_name","tests","2026-09-11","broken","2026-09-11","TestCheckout","test_checkout","",""
"A locked-out user should be blocked from logging in with a clear error.","621","test_locked_out_user","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Adding multiple products should reflect the correct count in the cart badge and cart page.","351","test_add_multiple_products_to_cart","tests","2026-09-11","failed","2026-09-11","TestCart","test_cart","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","611","test_login_data_driven[standard_user-wrong_password-failure]","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"A user with valid credentials should reach the Inventory page.","673","test_valid_login","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
